Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Kaunas, Žaliakalnis, Zarasų g., medinio namo dalis",199 000 €,,70 m²,"3,65 a",5,1,1930,Medinis,Namo dalis,"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,RūsysŪkiniai pastatai,Židinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Vijūkų k., Mėtų g., blokinis namas",241 000 €,,102 m²,4 a,4,2,2020,Blokinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,ElektraDujosInternetas,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Vilijampolė, Patrimpo g., mūrinis namas",250 000 €,35,300 m²,5 a,,2,"1992 statyba, 2008 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Dujos,GaražasRūsysŪkiniai pastataiTerasa,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Drąseikių k., Stiklo g., mūrinis sodo namas",28 000 €,,91 m²,"7,5 a",,2,1984,Mūrinis,Sodo namas,Kietu kuru,,Dalinė apdaila,Elektra,Rūsys,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, S. Banaičio g., mūrinis namas",315 000 €,26,"100,13 m²","6,82 a",,1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Naujasodžio k., Politechnikos g., mūrinis namas",249 000 €,53,125 m²,11 a,,2,"1985 statyba, 2020 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Miriniškių k., Smilčių g., mūrinis namas",228 000 €,,95 m²,7 a,4,1,2024,Mūrinis,Namas (gyvenamasis),"Dujinis, kita",Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Terasa,KondicionieriusŠildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Amaliai, Vinkšnų tak., karkasinė sodyba",55 000 €,34,"76,2 m²","7,6 a",4,,1972,Karkasinis,Sodyba,"Centrinis, dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,ElektraDujos,RūsysŪkiniai pastatai,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Naujatriobių k., Pakalnės g., karkasinė sodyba",14 000 €,,23 m²,10 a,2,,1984,Karkasinis,Sodyba,Kietu kuru,Vietinis vandentiekis,Įrengtas,,Rūsys,Su baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Freda, Bitininkų g., mūrinis sublokuotas namas",419 200 €,74,131 m²,3 a,,2,2013,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,4400-2383-6371:6849
