Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Kauno r. sav., Naujasodžio k., Politechnikos g., mūrinis namas",229 000 €,,284 m²,"11,07 a",,2,1984,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Bernatonių k., Upytės g., mūrinis namas",73 900 €,,"79,12 m²","8,25 a",3,2,1988,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,Elektra,GaražasPirtis,Skalbimo mašinaSu baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Vijūkų k., Žiedo g., mūrinis sublokuotas namas",155 000 €,,"85,5 m²","1,5 a",,2,2022,Mūrinis,Sublokuotas namas,Aeroterminis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, Agluonos g., mūrinis namas",199 900 €,,"82,7 m²","4,83 a",,1,2015,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,B,
"Kaunas, Žaliakalnis, Algirdo g., mūrinio namo dalis",259 000 €,21,121 m²,2 a,3,2,1998,Mūrinis,Namo dalis,Dujinis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūbinėRūsysTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Panerys, Pempių tak., mūrinis sodo namas",58 000 €,17,"45,5 m²","4,8 a",,2,1980,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Virbališkių k., Aukuro g., mūrinis namas",196 000 €,,"96,08 m²",7 a,4,1,2024,Mūrinis,Namas (gyvenamasis),Kita,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,400,A++,
"Kaunas, Amaliai, Ugniakuro g., mūrinis namas",249 000 €,17,"129,69 m²",12 a,4,1,2016,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Kraštinis sklypasGreta miškoElektraDujos,GaražasTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Ežeras,300,B,
"Kauno r. sav., Radikių k., Lėtos g., mūrinis namas",132 800 €,,86 m²,"6,63 a",4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,,Terasa,Plastikiniai vamzdžiaiRekuperacinė sistema,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Miriniškių k., Gulbių g., mūrinis namas",188 000 €,,92 m²,6 a,4,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraInternetas,,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Miriniškių k., Gulbių g., mūrinis namas",188 000 €,,92 m²,6 a,,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Ringaudų k., mūrinis namas",145 900 €,,96 m²,4 a,4,2,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektra,,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Petrašiūnai, Gryžuvos g., mūrinis sublokuotas namas",161 900 €,,90 m²,"2,7 a",4,1,2024,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,ElektraDujos,,Skalbimo mašinaŠildomos grindysŽidinysRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Drąseikių k., Vingio g., karkasinis sodo namas",29 000 €,,"48,9 m²",10 a,3,1,1988,Karkasinis,Sodo namas,Kita,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Ginėnų k., Ilgoji g., karkasinis sodo namas",30 000 €,75,28 m²,2 a,,1,2022,Karkasinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Aukštieji Šančiai, Akmenės g., mūrinis namas",210 000 €,13,313 m²,"6,3 a",,3,1970,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, Girios g., mūrinis sublokuotas namas",171 000 €,1C,"83,5 m²",2 a,4,2,2023,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujos,,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Akademijos mstl., Gabijos g., mūrinis sublokuotas namas",209 000 €,,"96,3 m²","2,61 a",4,2,2022,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,DujosInternetasAsfaltuotas privažiavimas,,,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Miriniškių k., Gulbių g., mūrinis namas",214 000 €,,109 m²,6 a,,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Garliavos m., Žalioji g., mūrinis namas",205 000 €,,252 m²,"7,55 a",,2,1987,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasPirtisRūbinėRūsys,Su baldaisŠildomos grindysVirtuvės komplektasŽidinysIndaplovė,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Seniavos k., Įlankos g., mūrinis sublokuotas namas",125 500 €,,81 m²,2 a,,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Ringaudų k., Margirio g., mūrinis namas",219 000 €,,92 m²,6 a,,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Domeikavos k., Gudobelių g., mūrinis sublokuotas namas",120 000 €,,"79,93 m²","2,3 a",4,2,2023,Mūrinis,Sublokuotas namas,Elektra,,Dalinė apdaila,Elektra,,,Šarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Laumėnų k., Saulutės g., mūrinis sodo namas",65 000 €,15,"102,59 m²","7,52 a",3,2,1989,Mūrinis,Sodo namas,"Elektra, aeroterminis, kietu kuru",Artezinis,Įrengtas,Elektra,GaražasŪkiniai pastatai,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Žemieji Šančiai, Spynų g., rąstinė namo dalis",149 999 €,,106 m²,"2,54 a",4,2,"1931 statyba, 2017 renovacija",Rąstinis,Namo dalis,Dujinis,,Įrengtas,ElektraDujos,Terasa,KondicionieriusSkalbimo mašinaSu baldais,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Žaliakalnis, Širvintų g., mūrinis namas",285 000 €,20,220 m²,3 a,,3,"1993 statyba, 2019 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasDujosInternetas,GaražasRūsys,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Raudondvario k., Kondroto g., mūrinis namas",152 999 €,2,159 m²,"7,5 a",,2,1963,Mūrinis,Namas (gyvenamasis),Centrinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, Romainių g., mūrinio namo dalis",155 000 €,66,"133,37 m²","10,2 a",4,2,1992,Mūrinis,Namo dalis,"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,ElektraDujosInternetas,GaražasRūbinėRūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, Chodkevičių g., mūrinis namas",165 000 €,15,"203,26 m²","25,51 a",3,1,1978,Mūrinis,Namas (gyvenamasis),Kietu kuru,Miesto vandentiekis,Įrengtas,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Ežeras,,F,
"Kauno r. sav., Mitkūnų k., Vakaro g., mūrinis namas",155 000 €,7,97 m²,"5,5 a",4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Artezinis,Dalinė apdaila,Asfaltuotas privažiavimasElektra,,Šildomos grindys,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,200,A+,
"Kaunas, Žaliakalnis, Žemaičių g., rąstinis namas",92 000 €,162,144 m²,"19,59 a",,1,1933,Rąstinis,Namas (gyvenamasis),Kietu kuru,,Kita,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Amaliai, Varnalėšų tak., mūrinis sodo namas",20 000 €,40,"47,31 m²","6,28 a",3,1,2023,Mūrinis,Sodo namas,Dujinis,Miesto vandentiekis,Kita,ElektraDujos,Terasa,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Žiegždrių k., Kalniškių g., rąstinė sodyba",250 000 €,,74 m²,78 a,,1,1940,Rąstinis,Sodyba,"Kietu kuru, kita",Šulinys,Neįrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraSu pakrante,Ūkiniai pastatai,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,,,
"Kaunas, Freda, Vaškų g., mūrinis namas",233 000 €,,"105,75 m²",3 a,4,2,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektra,,Šildomos grindysRekuperacinė sistema,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Romainiai, Lubinų g., mūrinis namas",276 000 €,125,120 m²,6 a,4,1,2019,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasTerasa,Su baldaisVirtuvės komplektasIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Smiltynų II k., Ąžuolų tak., mūrinis sodo namas",45 000 €,,"53,3 m²","8,02 a",2,1,1984,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,Elektra,BaseinasPirtisTerasa,Su baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Akademijos mstl., Saulės skg., mūrinis sublokuotas namas",223 000 €,,89 m²,"2,4 a",4,2,2021,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Kleboniškis, Kleboniškio g., mūrinis namas",259 000 €,,"191,06 m²",5 a,5,2,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Greta miškoAsfaltuotas privažiavimasElektra,Rūsys,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,500,,
"Kauno r. sav., Kuro k., Pamiškės tak., mūrinis namas",130 000 €,5,80 m²,6 a,,1,2024,Mūrinis,Namas (gyvenamasis),Dujinis,Artezinis,Įrengtas,Kraštinis sklypasGreta miškoElektra,Terasa,ŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,B,
"Kauno r. sav., Vijūkų k., Aluonos g., mūrinis namas",265 000 €,39,111 m²,"5,33 a",4,1,2018,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Ežerėlio m., Nendrių g., medinis sodo namas",10 000 €,,10 m²,"7,07 a",,1,1990,Medinis,Sodo namas,Kita,Šulinys,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Freda, Gebenių g., mūrinis namas",1 250 000 €,,"304,2 m²","13,34 a",5,2,2008,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimas,GaražasRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorijaBudintis sargasSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,,,
"Kauno r. sav., Gervėnupio k., Liepų g., mūrinis sodo namas",24 900 €,1,33 m²,5 a,,1,1990,Mūrinis,Sodo namas,Kietu kuru,,Neįrengtas,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Aleksotas, Kalvarijos g., mūrinis namas",285 000 €,,145 m²,6 a,4,2,2017,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,ElektraDujosAsfaltuotas privažiavimas,GaražasTerasa,Skalbimo mašinaSu baldais,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Drąseikių k., Šaltalankių g., medinis sodo namas",24 900 €,2,63 m²,"6,1 a",3,2,1990,Medinis,Sodo namas,Elektra,Kita,Įrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,Rūsys,Su baldaisŠaldytuvasViryklė,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,10,,
"Kauno r. sav., Smiltynų I k., Svajonių g., mūrinis namas",109 000 €,3,"231,42 m²",37 a,6,1,1981,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,GaražasPirtisRūbinėRūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,10,,
"Kaunas, Šilainiai, V. Kavolio g., mūrinis sublokuotas namas",132 000 €,62,80 m²,2 a,4,2,2022,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektra,Terasa,Šildomos grindys,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Aukštieji Šančiai, Prancūzų g., mūrinis namas",209 900 €,115,"98,77 m²","4,84 a",5,3,"1939 statyba, 2004 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūsysŪkiniai pastataiTerasa,,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Garliavos m., Tujų g., mūrinis namas",345 000 €,,214 m²,"5,93 a",,2,2012,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Laumėnų k., Atgimimo g., karkasinis sodo namas",32 000 €,,"52,79 m²",6 a,,1,1990,Karkasinis,Sodo namas,Kita,Artezinis,Įrengtas,Elektra,RūsysTerasa,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,,,
"Kauno r. sav., Raudondvario k., Laukų g., mūrinis namas",189 000 €,,323 m²,"7,99 a",5,2,1992,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,ElektraDujosAsfaltuotas privažiavimas,GaražasTerasa,Skalbimo mašinaSu baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Raudondvario k., Kalnų g., karkasinis namas",300 000 €,,"135,25 m²","6,83 a",4,2,2021,Karkasinis,Namas (gyvenamasis),Dujinis,,Įrengtas,ElektraDujosAsfaltuotas privažiavimas,Terasa,KondicionieriusSkalbimo mašina,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,B,
"Kauno r. sav., Zizų k., Zizų g., medinė sodyba",40 000 €,,67 m²,27 a,2,1,1935,Medinis,Sodyba,"Elektra, kietu kuru",Šulinys,Įrengtas,Kraštinis sklypasElektra,RūsysŪkiniai pastatai,Su baldais,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Ringaudų k., Šakių pl., mūrinis namas",269 000 €,27,"237,93 m²","44,54 a",6,2,2009,Mūrinis,Namas (gyvenamasis),Kietu kuru,Vietinis vandentiekis,Įrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetas,BaseinasGaražasPirtisŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,2 500,,4400-4830-3140
"Kaunas, Romainiai, Kudrėnų g., mūrinis namas",179 000 €,25,"90,33 m²",5 a,4,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektra,RūbinėTerasa,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Šarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Altoniškių k., Piliakalnio g., rąstinis namas",37 000 €,,81 m²,"33,55 a",3,1,1964,Rąstinis,Namas (gyvenamasis),Kietu kuru,Šulinys,Įrengtas,Elektra,Ūkiniai pastatai,Su baldaisŠaldytuvas,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,,,
"Kauno r. sav., Ringaudų k., Amatų g., mūrinis namas",232 000 €,8,180 m²,9 a,4,2,1987,Mūrinis,Namas (gyvenamasis),"Aeroterminis, dujinis",Miesto vandentiekis,Įrengtas,Elektra,GaražasTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Bernatonių k., Lynų g., mūrinis sodo namas",29 000 €,,"69,45 m²","6,3 a",3,2,2004,Mūrinis,Sodo namas,Kita,,Įrengtas,Kraštinis sklypasElektraAsfaltuotas privažiavimas,Terasa,Su baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Žaliakalnis, Molėtų g., karkasinis namas",179 900 €,,"238,33 m²","4,48 a",8,2,1920,Karkasinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,GaražasRūsys,ŠaldytuvasViryklėŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Žaliakalnis, Eigulių tak., mūrinis namas",269 900 €,4,"153,48 m²","1,43 a",4,2,2001,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasDujos,GaražasPirtisRūsys,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Ringaudų k., Jurginų g., mūrinis namas",195 000 €,,138 m²,"8,72 a",,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Palemonas, Verknės g., mūrinis sublokuotas namas",176 000 €,,103 m²,3 a,4,2,2022,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraDujos,,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Lapių mstl., Upelio g., mūrinis namas",160 300 €,28,"431,61 m²","25,92 a",,2,2007,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru, kita",Miesto vandentiekis,Įrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujos,GaražasRūsysŪkiniai pastatai,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Žaliakalnis, Kapsų g., mūrinis sublokuotas namas",314 500 €,28,131 m²,"2,43 a",4,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraInternetas,,Šildomos grindys,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Vaišvydava, Dabintos g., mūrinis namas",188 000 €,,"185,5 m²",8 a,6,2,"1982 statyba, 2015 renovacija",Mūrinis,Namas (gyvenamasis),Kietu kuru,Miesto vandentiekis,Įrengtas,Elektra,GaražasRūbinėRūsys,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklė,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,500,,
"Kauno r. sav., Smiltynų I k., Šviesos g., mūrinis namas",87 500 €,,"94,86 m²","7,33 a",3,1,2024,Mūrinis,Namas (gyvenamasis),Elektra,,Dalinė apdaila,ElektraAsfaltuotas privažiavimas,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
