Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Įrengimas:,Reklama:,Reklama/pasiūlymas:,Kambarių sk.:,Vanduo:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Šiaulių r. sav., Sauginių k., Žemynos g., karkasinis namas",58 500 €,1,60 m²,"15,07 a",1,2020,Karkasinis,Namas (gyvenamasis),Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Šulinys,,,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,Ūkiniai pastataiTerasa,KondicionieriusVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Šarvuotos durys,,4400-6081-4353
"Šiauliai, Medelynas, Ukmergės g., mūrinis namas",125 000 €,59,140 m²,8 a,1,1969,Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Šulinys,,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūsysTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėIndaplovė,Aptverta teritorijaSignalizacija,,
"Šiaulių r. sav., Kuršėnų m., Bajorų g., medinis namas",22 000 €,7B,"100,64 m²",11 a,2,1935,Medinis,Namas (gyvenamasis),Kietu kuru,Kita,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,
"Šiauliai, Lieporiai, Šviesos tak., mūrinis namas",169 000 €,,117 m²,"6,2 a",1,"1964 statyba, 2023 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasRūsysŪkiniai pastatai,,Aptverta teritorijaŠarvuotos durys,B,
"Šiaulių r. sav., Maskvytės k., Jurginų g., mūrinis sodo namas",37 900 €,,82 m²,6 a,2,1985,Mūrinis,Sodo namas,"Elektra, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Šimšė, K. Kalinausko g., mūrinis namas",60 000 €,47B,292 m²,"7,6 a",1,1960,Mūrinis,Namas (gyvenamasis),Dujinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Linartų k., Šerkšno g., karkasinis sodo namas",42 800 €,1,"26,43 m²","0,6 a",1,2012,Karkasinis,Sodo namas,Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Centras, Algirdo Juliaus Greimo g., mūrinis namas",103 000 €,129,"195,46 m²","12,73 a",2,1981,Mūrinis,Namas (gyvenamasis),Centrinis,Nebaigtas statyti,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,Miesto vandentiekis,Ežeras,3 000,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,,,,,2997-5001-9018
"Šiauliai, Medelynas, Birutės g., mūrinis namas",237 000 €,,344 m²,"6,55 a",3,"1982 statyba, 2000 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,"Artezinis, šulinys",,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasPirtisRūbinėRūsys,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorijaSignalizacija,,
"Šiaulių r. sav., Dainų k., Liepų g., mūrinis namas",150 000 €,,150 m²,10 a,1,2023,Mūrinis,Namas (gyvenamasis),Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Maskvytės k., Gėlių g., mūrinis sodo namas",50 000 €,,80 m²,"6,3 a",2,1988,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,Šulinys,Ežeras,1 000,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,GaražasPirtisRūsys,Su baldais,,E,
"Šiaulių r. sav., Pakuršėnių k., Sodelio g., mūrinis namas",119 000 €,38,102 m²,273 a,2,"2015 statyba, 2022 renovacija",Mūrinis,Namas (gyvenamasis),"Centrinis, elektra, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Šulinys,Tvenkinys,2 000,Kraštinis sklypasGreta miškoElektra,GaražasŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorija,D,
"Šiaulių r. sav., Kuršėnų m., Debesų g., mūrinis sodo namas",60 000 €,,"79,49 m²","5,93 a",1,2005,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,"Šulinys, vietinis vandentiekis",,,Elektra,GaražasŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,,
"Šiaulių r. sav., Pašvinių k., Alyvų g., mūrinė sodyba",21 000 €,,80 m²,8 a,,1988,Mūrinis,Sodyba,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiaulių r. sav., Meškių k., Miško g., mūrinis sodo namas",39 000 €,38,"98,56 m²","6,6 a",2,1990,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Šulinys,Tvenkinys,,Asfaltuotas privažiavimasElektra,GaražasRūsys,Židinys,,,
"Šiauliai, Centras, Jono Žemaičio g., mūrinis namas",375 000 €,,165 m²,9 a,2,2020,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Miesto vandentiekis,,,ElektraDujosInternetas,GaražasTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasŽidinys,Aptverta teritorija,,
"Šiauliai, Gytariai, Javų g., mūrinis namas",123 000 €,83G,253 m²,"10,61 a",2,2008,Mūrinis,Namas (gyvenamasis),Dujinis,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,ElektraDujos,GaražasPirtisTerasa,,Signalizacija,B,
"Šiauliai, Bačiūnai, Paparčio Sodų 1-oji g., mūrinis sodo namas",39 900 €,12,"80,15 m²","6,2 a",1,1989,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,,,,Elektra,,,,,
"Šiaulių r. sav., Gegužių k., Sembos g., mūrinis namas",279 000 €,,"172,85 m²","7,13 a",1,2013,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Šulinys,Ežeras,,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,C,
"Šiaulių r. sav., Gruzdžių mstl., Jaunimo g., mūrinė sodyba",29 900 €,,342 m²,20 a,1,1817,Mūrinis,Sodyba,Kietu kuru,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Ginkūnų k., Švedės g., mūrinis namas",179 000 €,47,271 m²,"24,8 a",1,1990,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujos,GaražasPirtisRūsysŪkiniai pastatai,Šildomos grindysVirtuvės komplektasPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,,
"Šiaulių r. sav., Gervėnų k., Kalnelio g., mūrinis namas",51 000 €,13,126 m²,"6,2 a",2,1990,Mūrinis,Namas (gyvenamasis),Kietu kuru,Kita,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,3,,Ežeras,500,Elektra,,Su baldais,,,
"Šiauliai, Medelynas, Kretingos g., mūrinis namas",129 900 €,,126 m²,7 a,1,1999,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraDujos,GaražasRūsysTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,,,
"Šiauliai, Centras, Žaliūkių g., mūrinis namas",135 000 €,21,"153,43 m²",8 a,2,"1930 statyba, 2023 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,6,"Miesto vandentiekis, vietinis vandentiekis",,,Asfaltuotas privažiavimasElektraDujos,GaražasTerasa,Su baldaisPlastikiniai vamzdžiai,Aptverta teritorija,,
"Šiaulių r. sav., Rūvelių k., rąstinė sodyba",69 900 €,,220 m²,60 a,1,"1974 statyba, 2018 renovacija",Rąstinis,Sodyba,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,"Šulinys, vietinis vandentiekis",Upė,300,Elektra,Ūkiniai pastatai,Su baldaisVirtuvės komplektasŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,,
"Šiaulių r. sav., Kuršėnų m., Šiltnamio g., mūrinis namas",43 000 €,,71 m²,"14,5 a",1,1969,Mūrinis,Namas (gyvenamasis),Kietu kuru,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,ElektraDujosInternetas,Garažas,,,,
"Šiauliai, Medelynas, Sodo g., mūrinis namas",153 000 €,,"265,49 m²","6,84 a",1,2012,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru, kita",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,6,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasPirtis,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorija,,
"Šiauliai, Rėkyva, Rėkyvos Sodų 2-oji g., mūrinis namas",89 000 €,,"126,06 m²",6 a,1,"1990 statyba, 2003 renovacija",Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,"Šulinys, vietinis vandentiekis",Ežeras,400,Asfaltuotas privažiavimasElektra,GaražasRūsys,Virtuvės komplektasŽidinysPlastikiniai vamzdžiai,Aptverta teritorija,,
"Šiaulių r. sav., Kairių mstl., Rasos g., mūrinis namas",265 000 €,15,"203,77 m²",25 a,2,2013,Mūrinis,Namas (gyvenamasis),Geoterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,"Artezinis, vietinis vandentiekis",Tvenkinys,,Kraštinis sklypasElektraInternetas,GaražasTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,D,
"Šiaulių r. sav., Lukšių k., Plento g., mūrinė sodyba",60 000 €,2,112 m²,"24,18 a",,1991,Mūrinis,Sodyba,Kietu kuru,Nebaigtas statyti,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Vietinis vandentiekis,,,,,,,,
"Šiaulių r. sav., Ginkūnų k., Švedės g., mūrinis namas",143 000 €,4,"110,73 m²",17 a,1,"1962 statyba, 2017 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujos,GaražasŪkiniai pastataiTerasa,Su baldaisVirtuvės komplektasŽidinys,Aptverta teritorijaŠarvuotos durys,,
"Šiaulių r. sav., Mirskiškės k., rąstinė sodyba",135 000 €,,403 m²,700 a,2,1900,Rąstinis,Sodyba,Kietu kuru,Kita,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,9190-0007-4020
"Šiaulių r. sav., Vijolių k., Kadagių g., mūrinis sublokuotas namas",165 000 €,1A,97 m²,"2,5 a",2,2022,Mūrinis,Sublokuotas namas,Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Gytariai, Javų g., mūrinis namas",123 000 €,83G,253 m²,"10,6 a",2,2020,Mūrinis,Namas (gyvenamasis),Dujinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Miesto vandentiekis,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,GaražasPirtisTerasa,Šildomos grindys,,,
"Šiaulių r. sav., Gervėnų k., Avietyno g., Namas (gyvenamasis)",117 000 €,,75 m²,10 a,1,2023,Kita,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Vietinis vandentiekis,,,Asfaltuotas privažiavimasElektra,Terasa,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Šiauliai, Medelynas, Ukmergės g., mūrinio namo dalis",39 000 €,121,80 m²,5 a,2,1960,Mūrinis,Namo dalis,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,"Miesto vandentiekis, šulinys",,,Elektra,GaražasRūbinėRūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,,,
"Šiauliai, Centras, Grafo Zubovo g., mūrinis sublokuotas namas",188 000 €,,"114,91 m²","8,51 a",2,2023,Mūrinis,Sublokuotas namas,"Centrinis kolektorinis, aeroterminis",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektra,Terasa,Rekuperacinė sistema,Aptverta teritorija,A++,2901-0006-0482
"Šiauliai, Bačiūnai, Paparčio Sodų 1-oji g., mūrinis namas",165 000 €,4,"79,93 m²","7,15 a",1,2021,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Šulinys,,,Elektra,GaražasTerasa,Šildomos grindysPlastikiniai vamzdžiai,Šarvuotos durys,,
"Šiauliai, Lieporiai, Nadruvos g., mūrinis namas",362 800 €,,"313,12 m²",20 a,3,2008,Mūrinis,Namas (gyvenamasis),"Centrinis kolektorinis, dujinis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,"Miesto vandentiekis, šulinys",,,Greta miškoAsfaltuotas privažiavimasElektraDujos,GaražasPirtisRūbinėRūsysTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,,
"Šiaulių r. sav., Lieporių k., Mažosios Lietuvos g., blokinis namas",295 000 €,55,200 m²,10 a,2,2014,Blokinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Šulinys,,,ElektraDujosInternetas,PirtisRūbinėŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,,,
"Šiaulių r. sav., Kuršėnų m., Pievų g., mūrinis namas",135 001 €,,320 m²,15 a,3,1990,Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Miesto vandentiekis,,,ElektraDujos,GaražasPirtisŪkiniai pastatai,Šildomos grindysŽidinysPlastikiniai vamzdžiai,,,
"Šiaulių r. sav., Kuršėnų m., Maironio g., mūrinis namas",66 900 €,19,"84,55 m²",9 a,1,1963,Mūrinis,Namas (gyvenamasis),Kita,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,"Miesto vandentiekis, šulinys",Upė,500,Elektra,GaražasŪkiniai pastatai,Šildomos grindys,Aptverta teritorija,,
"Šiauliai, Rėkyva, Rasos Sodų 5-oji g., mūrinis namas",105 000 €,,"88,29 m²","6,8 a",2,2015,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Šulinys,Ežeras,500,Elektra,Garažas,Su baldaisŠildomos grindysŽidinysPlastikiniai vamzdžiai,Aptverta teritorija,B,
"Šiauliai, Centras, Lelijų g., mūrinis namas",128 000 €,7,100 m²,"5,98 a",1,1960,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraDujosKabelinė televizija,GaražasRūsysŪkiniai pastatai,Su baldaisPlastikiniai vamzdžiai,,,
"Šiauliai, Centras, Darkiemio g., medinio namo dalis",40 000 €,13,80 m²,7 a,2,1965,Medinis,Namo dalis,"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,ElektraDujosAsfaltuotas privažiavimas,,Su baldais,Aptverta teritorija,,
"Šiaulių r. sav., Ginkūnų k., Lelijų g., blokinis namas",345 000 €,,270 m²,8 a,2,2018,Blokinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Centras, Noreikių g., mūrinis namas",121 000 €,,"151,49 m²",6 a,1,2023,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis, saulės energija, kita",Nebaigtas statyti,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,,ElektraDujosInternetasKabelinė televizija,Garažas,,,A++,
"Šiaulių r. sav., Voveriškių k., Vidmantės Jasukaitytės g., mūrinis sublokuotas namas",145 000 €,4,80 m²,4 a,1,2024,Mūrinis,Sublokuotas namas,"Dujinis, elektra",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,A+,
"Šiaulių r. sav., Bubių k., Vingio g., karkasinis namas",124 900 €,11,133 m²,11 a,2,"1980 statyba, 2013 renovacija",Karkasinis,Namas (gyvenamasis),"Centrinis kolektorinis, dujinis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,Kraštinis sklypasGreta miškoElektraInternetas,PirtisTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,,,
"Šiaulių r. sav., Vijolių k., Santarvės g., mūrinis namas",155 000 €,,"259,46 m²","16,26 a",2,1995,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,
"Šiaulių r. sav., Dainų k., Keršulių g., mūrinis sublokuotas namas",179 000 €,,84 m²,4 a,1,2021,Mūrinis,Sublokuotas namas,Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Artezinis,,,ElektraInternetasKabelinė televizija,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,A++,
"Šiauliai, Zokniai, Skrydžio g., monolitinė namo dalis",37 700 €,11,"35,33 m²",2 a,1,1957,Monolitinis,Namo dalis,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,1,Miesto vandentiekis,,,Elektra,Ūkiniai pastatai,,Aptverta teritorija,,
"Šiaulių r. sav., Raudėnų k., Paraudžių g., mūrinis namas",29 000 €,28,70 m²,25 a,1,1984,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Bačiūnai, Lelijos Sodų 10-oji g., mūrinis sodo namas",24 000 €,,20 m²,6 a,1,2014,Mūrinis,Sodo namas,Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Medelynas, Miško g., mūrinio namo dalis",62 000 €,,70 m²,4 a,2,1977,Mūrinis,Namo dalis,"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraDujos,RūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorija,,
"Šiaulių r. sav., Lingailių k., Rasos g., karkasinis sodo namas",67 000 €,25,70 m²,10 a,2,2011,Karkasinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Šulinys,Tvenkinys,50,Greta miškoElektra,Pirtis,Su baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasŽidinys,Aptverta teritorijaŠarvuotos durys,,
"Šiauliai, Lieporiai, Skalvių g., mūrinis sublokuotas namas",146 356 €,11,105 m²,10 a,2,2024,Mūrinis,Sublokuotas namas,"Elektra, kita",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,Terasa,Šildomos grindys,SignalizacijaŠarvuotos durys,A++,
"Šiaulių r. sav., Meškių k., Svarainių g., mūrinis sodo namas",38 000 €,29,"82,43 m²","7,12 a",2,"1983 statyba, 2008 renovacija",Mūrinis,Sodo namas,"Elektra, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Šulinys,,,Elektra,RūsysŪkiniai pastatai,,,,
"Šiauliai, Bačiūnai, Lelijos Sodų 5-oji g., mūrinis namas",131 000 €,,80 m²,6 a,1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Aukštelkės k., Paparčių g., mūrinio namo dalis",52 000 €,13,"108,58 m²","31,69 a",2,1973,Mūrinis,Namo dalis,"Centrinis, elektra, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,"Miesto vandentiekis, šulinys",Tvenkinys,3 000,ElektraDujos,GaražasRūsysŪkiniai pastatai,,Aptverta teritorija,,
"Šiaulių r. sav., Aukštelkės k., Ilgoji g., karkasinis sublokuotas namas",145 000 €,,128 m²,5 a,2,2024,Karkasinis,Sublokuotas namas,Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,Kabelinė televizijaInternetasElektra,Rūbinė,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,,A+,
"Šiaulių r. sav., Šilėnų k., Saulės g., mūrinis namas",74 000 €,,76 m²,21 a,1,"1969 statyba, 2012 renovacija",Mūrinis,Namas (gyvenamasis),"Centrinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,Ežeras,4 000,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,GaražasRūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklė,Aptverta teritorijaŠarvuotos durys,,
"Šiauliai, karkasinis kita",6 000 €,,"20,55 m²",2 a,1,2023,Karkasinis,"Kita (nukeliamas, projektas, kt.)",Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,Terasa,,,,
"Šiauliai, Lieporiai, Sprudeikos g., mūrinis namas",249 000 €,,172 m²,"10,31 a",2,2012,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis, kita",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
