Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Reklama:,Reklama/pasiūlymas:,Unikalus daikto numeris(RC numeris):,Kambarių sk.:,Papildoma įranga:,Apsauga:,Artimiausias vandens telkinys:,Pastato energijos suvartojimo klasė:
"Alytus, Pirmas Alytus, Medžiotojų g., mūrinis namas",190 000 €,1,"219,71 m²","12,08 a",2,1989,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetas,GaražasPirtisRūbinėRūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,1198-9002-2010,6,Skalbimo mašinaSu baldaisViryklė,,,
"Alytaus r. sav., Bazorų k., Kaštonų g., karkasinis sodo namas",11 000 €,,32 m²,"5,75 a",1,1984,Karkasinis,Sodo namas,Kita,,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Kumečių k., Lauko g., mūrinis namas",135 000 €,2,166 m²,40 a,2,2003,Mūrinis,Namas (gyvenamasis),Aeroterminis,"Artezinis, miesto vandentiekis",Įrengtas,,Kraštinis sklypasAsfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastataiTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,Aptverta teritorija,,
"Alytaus r. sav., Nemunaičio k., Ryto g., mūrinio namo dalis",25 000 €,2,53 m²,26 a,1,1975,Mūrinis,Namo dalis,Kietu kuru,,Įrengtas,,Asfaltuotas privažiavimasElektra,Ūkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,,,Upė,
"Alytaus r. sav., Klausiškių k., Lakštingalų g., mūrinis sodo namas",40 000 €,2,75 m²,0 a,2,1990,Mūrinis,Sodo namas,Elektra,,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4400-6001-7321,,,,,
"Alytaus r. sav., Jurkionių k., Kalniečių g., mūrinis sodo namas",36 000 €,6,"52,7 m²","6,4 a",1,1986,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,,Kraštinis sklypasGreta miškoElektra,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,,Aptverta teritorijaŠarvuotos durys,,
"Alytus, Senamiestis, Perlojos g., mūrinis namas",165 000 €,24A,300 m²,6 a,2,1987,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,ElektraAsfaltuotas privažiavimasGreta miško,TerasaPirtisŪkiniai pastataiBaseinasGaražasRūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,8,ŽidinysSu baldaisŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorija,,
"Alytaus r. sav., Paliepių k., Punelės g., mūrinė sodyba",55 000 €,,"78,16 m²",330 a,,1948,Mūrinis,Sodyba,Kietu kuru,Šulinys,Kita,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,,,,
"Alytaus r. sav., Užupių k., Užupių g., blokinis namas",115 000 €,,150 m²,17 a,1,2021,Blokinis,Namas (gyvenamasis),Kita,Miesto vandentiekis,Neįrengtas,,Greta miškoElektra,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,
"Alytus, Senamiestis, Lelijų g., mūrinis namas",45 000 €,51,140 m²,7 a,2,1960,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Kita,,ElektraDujos,Rūsys,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,,,,
